StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q95,QID2_2,QID6,QID7,QID16,QID17,QID10,QID11,QID12,QID13,QID14,QID15,QID18,QID19,QID20,QID21,QID79,QID101,QID100,QID71,QID83,QID82,QID85,QID84,QID87,QID88,QID90,QID89,QID92,QID91,QID94,QID93,QID96,QID95,QID98,QID99,QID43,QID27,QID78,QID47,QID25,QID33,QID50,QID37,QID39,QID41,QID106,QID107,QID108,QID109,QID110,QID113,QID114,QID115,QID117,QID116,QID118,QID119,QID120,QID121,QID122,,Q98,QID52,QID63,QID105,Q135,Q136,Q138,,AmazonId,CAND,ED,TW,BI,HC,AB,GC,ML,NS,TC,CC,impED,impTW,impBI,impHC,impAB,impML,impNS,impTC,impCC,impGC,ResponseID,group,FB,SCO,QID17,Group
1/19/21 10:37,1/19/21 10:40,0,50.192.93.242,100,192,1,1/19/21 10:40,R_3D5T0HseQTeNThV,,,,,29.79119873,-95.41819763,anonymous,EN,4,25,1,2,44,2,2,2,2,3,4,1,1,1,5,3,2,0.6,3,0.6,1,0.6,3,0.8,3,0.8,2,0.8,1,0.8,2,0.8,2,0.6,2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,4,nice,,,,,A3TNLC6XGYNDKS,None,,,,,,,,,,,,,,,,,,,,,R_cPhwvWMVX69Pc7n,control,8,6,2,control
1/19/21 10:37,1/19/21 10:41,0,68.48.126.21,100,218,1,1/19/21 10:41,R_2QKkjOFRB7yZ5PB,,,,,42.76060486,-84.5562973,anonymous,EN,4,27,1,"1,2,3",23,5,2,1,2,1,3,1,1,2,2,4,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,1,1,2,2,,,,,,,,,,,,,,,,,6,1,6,,,,,,A10T0161B70BXP,None,,,,,,,,,,,,,,,,,,,,,R_1fiN4KeemBpWrgG,control,9,5,5,control
1/19/21 10:36,1/19/21 10:41,0,94.143.26.229,100,277,1,1/19/21 10:41,R_1OHzrakD5D4qHkg,,,,,38.05459595,-1.207595825,anonymous,EN,4,29,1,2,53,7,3,1,2,1,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,3,5,3,5,1,4,1,2,3,3,,,,,,,,,,,,,,,,,10,4,21,You should limit the survey to US workers,,,,,AA3OOA62I1EEB,None,,,,,,,,,,,,,,,,,,,,,R_A73uA5B9ns1UeWt,control,9,4,7,control
1/19/21 10:40,1/19/21 10:41,0,209.249.125.55,100,63,1,1/19/21 10:41,R_3rUlkkCZwXMI1X8,,,,,38.85969543,-77.19799805,anonymous,EN,4,21,1,3,4,4,2,1,1,1,1,2,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,"3,5","3,4,6",3,"3,4",3,4,"3,4",3,2,4,3,2,,,,,,3,6,,,A1SBFOZG5J97Z1,None,,,,,,,,,,,,,,,,,,,,,R_21BuW3aEFdJTirg,control,3,2,4,control
1/19/21 10:36,1/19/21 10:41,0,174.86.214.8,100,297,1,1/19/21 10:41,R_2uqCXTYeYX8GHhO,,,,,38.57530212,-90.26509857,anonymous,EN,4,29,1,2,26,3,1,1,2,1,3,1,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,1,"1,3",3,4,"1,4,5",1,1,"2,5",3,2,2,"9,2,3,5",3,,,,,,1,10,,,A25689NPCA1KNA,None,,,,,,,,,,,,,,,,,,,,,R_10OwKzDiL5ofQJD,control,10,8,3,control
1/19/21 10:37,1/19/21 10:42,0,72.178.90.173,100,278,1,1/19/21 10:42,R_1mRcEFlcU07WDpe,,,,,31.00650024,-97.84059906,anonymous,EN,4,26,2,2,44,3,2,4,1,1,3,1,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,"1,2,3,4,5,6","3,4,5,6,7,8,12",3,"1,2,3,4,5,6",1,1,"2,4,5",3,2,2,"1,4,8",1,,,,,,4,21,I love yall ty,,A5BMKZRGHNSRT,None,,,,,,,,,,,,,,,,,,,,,R_3k63SFY9ezW5y9L,control,2,7,3,control
1/19/21 10:41,1/19/21 10:42,0,71.223.95.87,100,70,1,1/19/21 10:42,R_3oFVQAbVfjF7TMM,,,,,33.35040283,-111.7819977,anonymous,EN,4,26,1,2,3,3,3,1,2,1,2,3,2,2,2,3,2,0.8,2,0.6,2,0.8,1,0.8,3,0.8,2,0.6,3,0.6,2,0.6,2,0.4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,,,,,,A4LCG4MSNJRUF,None,,,,,,,,,,,,,,,,,,,,,R_31EFWDZn9HgBCFu,control,7,6,3,control
1/19/21 10:39,1/19/21 10:42,0,71.76.166.61,100,209,1,1/19/21 10:42,R_3OqeGqFD2co1Mu9,,,,,36.0019989,-80.00039673,anonymous,EN,4,29,2,2,34,6,1,3,2,1,3,1,1,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,1,1,"2,3,8",1,"3,5",1,5,"2,5",3,2,2,"9,3",3,,,,,,1,10,,,AT13O9Y4E9RUV,None,,,,,,,,,,,,,,,,,,,,,R_2a9RdPnJ9xDbqL8,control,10,5,6,control
1/19/21 10:39,1/19/21 10:43,0,103.58.65.149,100,214,1,1/19/21 10:43,R_1o6ESWJ9WOpRiGz,,,,,10.95770264,78.08099365,anonymous,EN,4,29,1,4,15,5,2,2,1,2,1,1,1,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,3,3,2,3,1,2,3,2,3,3,4,2,,,,,,1,4,na,,A2H1RXUC8XNNIW,None,,,,,,,,,,,,,,,,,,,,,R_1hXALUhRdtv1XyV,control,9,7,5,control
1/19/21 10:36,1/19/21 10:43,0,178.156.96.36,100,400,1,1/19/21 10:43,R_cPhwvWMVX69Pc7n,,,,,38.06149292,-1.048797607,anonymous,EN,4,24,1,2,24,5,3,2,2,1,1,1,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,"1,2","3,5,6",5,"1,3,5",3,1,2,1,2,2,"1,4,2",2,,,,,,1,4,,,AV7UX8QQXABSK,None,,,,,,,,,,,,,,,,,,,,,R_31SNHG6Tv8k1eQV,control,7,5,5,control
1/19/21 10:38,1/19/21 10:43,0,174.224.137.212,100,281,1,1/19/21 10:43,R_1fiN4KeemBpWrgG,,,,,42.78630066,-78.82949829,anonymous,EN,4,25,1,2,33,2,3,3,2,1,3,1,2,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,2,"1,3,4,6","3,4,7",6,7,5,1,"2,5",3,2,2,"9,2,3,5",3,,,,,,4,21,,,A32F5JI04GX6T6,None,,,,,,,,,,,,,,,,,,,,,R_NVzsbEqUSjtjkw9,control,10,5,2,control
1/19/21 10:39,1/19/21 10:43,0,174.198.4.53,100,200,1,1/19/21 10:43,R_3NzhssmORW3q4DI,,,,,40.03450012,-75.11930084,anonymous,EN,4,29,1,4,39,6,1,2,2,1,3,1,1,3,2,2,,,,,,,,,,,,,,,,,,,,,3,1,3,2,2,5,3,1,1,2,,,,,,,,,,,,,,,,,2,2,7,,,,,,AK5AFB4VLBCGK,None,,,,,,,,,,,,,,,,,,,,,R_1pn86VZK18uvemM,control,6,6,6,control
1/19/21 10:37,1/19/21 10:43,0,73.248.184.34,100,371,1,1/19/21 10:43,R_3kNysXqsQVX72xQ,,,,,40.78779602,-74.78700256,anonymous,EN,4,28,1,2,31,3,1,1,2,1,3,2,1,3,3,2,3,0.4,3,0.6,3,0.6,5,0.6,2,0.4,4,0.6,1,0.6,2,0.4,2,0.4,2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,21,No comments.,,,,,A7XNIJ3GJLJPZ,None,,,,,,,,,,,,,,,,,,,,,R_12tAjDIiNuo9toq,control,8,6,3,control
1/19/21 10:38,1/19/21 10:43,0,73.121.253.179,100,259,1,1/19/21 10:43,R_cONNyX4Ldf11bdT,,,,,36.04989624,-83.92279816,anonymous,EN,4,28,2,2,43,6,1,3,2,1,3,1,3,3,2,2,,,,,,,,,,,,,,,,,,,,,1,1,2,3,3,1,2,2,2,2,,,,,,,,,,,,,,,,,8,1,21,,,,,,A3S53ST810LO7P,None,,,,,,,,,,,,,,,,,,,,,R_1IH5RT68pti8aOF,control,7,7,6,control
1/19/21 10:39,1/19/21 10:43,0,67.171.44.218,100,218,1,1/19/21 10:43,R_1d4yeBHgb0EzMkZ,,,,,47.30659485,-122.2619019,anonymous,EN,4,29,2,2,48,5,1,2,2,1,3,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,1,1,1,2,3,3,1,1,3,2,,,,,,,,,,,,,,,,,1,1,12,Tusli Gabbard is a Russian asset. I'd consider voting for practically any Democratic primary candidate EXCEPT her.,,,,,A32QFJTK9LJXLR,None,,,,,,,,,,,,,,,,,,,,,R_2agJh1r0a9JnWvY,control,10,8,5,control
1/19/21 10:40,1/19/21 10:44,0,73.46.134.85,100,248,1,1/19/21 10:44,R_SIC82AomFU5KBIl,,,,,26.26809692,-80.209198,anonymous,EN,4,29,1,1,10,3,1,2,2,1,3,1,1,3,2,2,1,0.2,1,0.2,2,0.6,1,0.2,3,0.6,1,0.4,1,0.4,1,0.2,3,0.4,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,12,,,,,,AWCMWOLXMZAAC,None,,,,,,,,,,,,,,,,,,,,,R_2t4KYSwgj0Mb24h,control,10,6,3,control
1/19/21 10:40,1/19/21 10:44,0,157.46.64.29,100,240,1,1/19/21 10:44,R_A73uA5B9ns1UeWt,,,,,13.08779907,80.27850342,anonymous,EN,4,24,1,4,53,5,2,2,2,2,2,1,1,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,"2,3","5,6",2,"4,5",2,2,"2,5",2,2,2,"4,8",2,,,,,,1,4,,,A3KOWOILLHL2SS,None,,,,,,,,,,,,,,,,,,,,,R_bqq2t7mxCDNmXBf,control,9,5,5,control
1/19/21 10:38,1/19/21 10:44,0,73.6.157.127,100,357,1,1/19/21 10:44,R_2TFQmP0wZkGVRF6,,,,,29.97619629,-95.64009857,anonymous,EN,4,26,2,2,44,6,3,1,1,1,3,1,3,3,3,2,3,0.8,3,0.6,3,1,2,0.8,3,1,2,0.8,1,1,2,0.6,3,0.6,2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10,,,,,,AJ4T7PTRYNSUW,None,,,,,,,,,,,,,,,,,,,,,R_3L233yt1NCSS5Xo,control,10,5,6,control
1/19/21 10:41,1/19/21 10:45,0,71.234.14.110,100,200,1,1/19/21 10:45,R_AA8Ok1nYrbBfjJ7,,,,,41.56950378,-72.34400177,anonymous,EN,4,28,1,2,7,5,1,2,2,1,3,1,3,1,2,4,,,,,,,,,,,,,,,,,,,,,3,4,2,3,2,4,2,3,2,3,,,,,,,,,,,,,,,,,6,3,20,No comments,,,,,A1GBWX1MQ3UVNT,None,,,,,,,,,,,,,,,,,,,,,R_3n9jATvjPsEzBVV,control,9,8,5,control
